a_affirmative  : 12.688171799999964,
a_conditional  : 24.17234099999996,
a_doubt_question  : 3.4096673999999894,
a_emphasis  : 15.869863899999928,
a_negative  : 6.621265200000153,
a_relative  : 24.439079300000003,
a_topics  : 4.013929799999914,
a_wh_question  : 15.474587400000019,
a_yn_question  : 31.738706000000093,
b_affirmative  : 24.581829599999992,
b_conditional  : 21.01357810000013,
b_doubt_question  : 8.574905200000103,
b_emphasis  : 14.295685999999932,
b_negative  : 27.33024679999994,
b_relative  : 3.9350306999999702,
b_topics  : 38.7410640999999,
b_wh_question  : 6.73759229999996,
b_yn_question  : 35.54161739999995,
